textid,label
1,surprise
2,surprise
3,surprise
4,surprise
5,surprise
6,sad
7,surprise
8,surprise
9,surprise
10,sad
11,joy
12,surprise
13,fear
14,surprise
15,fear
16,fear
17,surprise
18,surprise
19,surprise
20,fear
21,surprise
22,surprise
23,surprise
24,surprise
25,joy
26,surprise
27,sad
28,surprise
29,surprise
30,surprise
31,joy
32,surprise
33,surprise
34,surprise
35,surprise
36,surprise
37,surprise
38,surprise
39,surprise
40,fear
41,joy
42,fear
43,surprise
44,surprise
45,surprise
46,surprise
47,surprise
48,surprise
49,surprise
50,surprise
51,surprise
52,surprise
53,surprise
54,anger
55,surprise
56,surprise
57,surprise
58,surprise
59,surprise
60,surprise
61,joy
62,surprise
63,sad
64,fear
65,sad
66,joy
67,joy
68,joy
69,surprise
70,surprise
71,surprise
72,surprise
73,sad
74,surprise
75,fear
76,sad
77,surprise
78,surprise
79,joy
80,surprise
81,fear
82,surprise
83,surprise
84,surprise
85,sad
86,surprise
87,sad
88,joy
89,surprise
90,surprise
91,joy
92,anger
93,surprise
94,surprise
95,fear
96,surprise
97,joy
98,surprise
99,surprise
100,joy
101,surprise
102,surprise
103,anger
104,joy
105,fear
106,sad
107,surprise
108,anger
109,surprise
110,joy
111,surprise
112,surprise
113,surprise
114,joy
115,fear
116,surprise
117,surprise
118,surprise
119,joy
120,surprise
121,anger
122,surprise
123,surprise
124,surprise
125,joy
126,joy
127,surprise
128,joy
129,surprise
130,anger
131,joy
132,surprise
133,anger
134,surprise
135,sad
136,joy
137,surprise
138,joy
139,anger
140,sad
141,surprise
142,sad
143,joy
144,surprise
145,anger
146,joy
147,surprise
148,sad
149,surprise
150,surprise
151,fear
152,joy
153,surprise
154,surprise
155,surprise
156,surprise
157,joy
158,surprise
159,sad
160,surprise
161,surprise
162,sad
163,surprise
164,surprise
165,fear
166,fear
167,sad
168,joy
169,sad
170,surprise
171,joy
172,surprise
173,fear
174,surprise
175,sad
176,surprise
177,surprise
178,joy
179,sad
180,surprise
181,surprise
182,surprise
183,surprise
184,surprise
185,surprise
186,joy
187,surprise
188,surprise
189,surprise
190,surprise
191,fear
192,anger
193,surprise
194,surprise
195,anger
196,surprise
197,anger
198,joy
199,joy
200,sad
201,joy
202,surprise
203,surprise
204,surprise
205,surprise
206,sad
207,surprise
208,anger
209,surprise
210,anger
211,anger
212,surprise
213,joy
214,surprise
215,joy
216,surprise
217,surprise
218,surprise
219,surprise
220,joy
221,surprise
222,surprise
223,surprise
224,fear
225,fear
226,surprise
227,anger
228,surprise
229,surprise
230,joy
231,surprise
232,surprise
233,surprise
234,surprise
235,joy
236,surprise
237,surprise
238,surprise
239,joy
240,fear
241,anger
242,sad
243,joy
244,surprise
245,surprise
246,surprise
247,surprise
248,surprise
249,surprise
250,surprise
251,joy
252,surprise
253,joy
254,surprise
255,joy
256,sad
257,sad
258,surprise
259,surprise
260,surprise
261,surprise
262,surprise
263,surprise
264,fear
265,surprise
266,surprise
267,sad
268,surprise
269,surprise
270,anger
271,surprise
272,sad
273,surprise
274,joy
275,surprise
276,surprise
277,surprise
278,surprise
279,surprise
280,surprise
281,sad
282,joy
283,surprise
284,anger
285,sad
286,fear
287,surprise
288,surprise
289,sad
290,joy
291,sad
292,joy
293,surprise
294,surprise
295,anger
296,surprise
297,anger
298,surprise
299,anger
300,surprise
301,surprise
302,surprise
303,surprise
304,surprise
305,surprise
306,fear
307,surprise
308,joy
309,surprise
310,sad
311,surprise
312,surprise
