textid,label
1,surprise
1,surprise
1,joy
1,surprise
1,sad
1,sad
1,surprise
1,fear
1,surprise
1,surprise
1,joy
1,surprise
1,fear
1,sad
1,fear
1,fear
1,joy
1,sad
1,surprise
1,joy
1,joy
1,surprise
1,sad
1,surprise
1,sad
1,sad
1,joy
1,surprise
1,fear
1,fear
1,joy
1,surprise
1,joy
1,fear
1,joy
1,joy
1,sad
1,surprise
1,surprise
1,fear
1,surprise
1,fear
1,joy
1,disgust
1,sad
1,joy
1,joy
1,joy
1,sad
1,fear
1,joy
1,joy
1,surprise
1,joy
1,sad
1,surprise
1,sad
1,joy
1,surprise
1,surprise
1,joy
1,fear
1,joy
1,fear
1,sad
1,joy
1,joy
1,joy
1,sad
1,surprise
1,joy
1,joy
1,sad
1,sad
1,fear
1,surprise
1,sad
1,joy
1,joy
1,surprise
1,joy
1,sad
1,joy
1,fear
1,fear
1,joy
1,fear
1,joy
1,joy
1,sad
1,surprise
1,fear
1,joy
1,surprise
1,fear
1,joy
1,joy
1,sad
1,surprise
1,joy
1,fear
1,joy
1,sad
1,joy
1,fear
1,sad
1,joy
1,joy
1,joy
1,joy
1,sad
1,fear
1,surprise
1,sad
1,fear
1,joy
1,fear
1,surprise
1,joy
1,sad
1,joy
1,surprise
1,joy
1,sad
1,joy
1,joy
1,surprise
1,fear
1,joy
1,surprise
1,joy
1,joy
1,fear
1,sad
1,fear
1,joy
1,surprise
1,joy
1,fear
1,joy
1,joy
1,sad
1,joy
1,joy
1,surprise
1,sad
1,surprise
1,sad
1,joy
1,sad
1,fear
1,joy
1,joy
1,surprise
1,joy
1,joy
1,joy
1,surprise
1,joy
1,fear
1,joy
1,sad
1,surprise
1,sad
1,fear
1,joy
1,joy
1,surprise
1,fear
1,joy
1,fear
1,surprise
1,joy
1,joy
1,sad
1,joy
1,fear
1,joy
1,joy
1,joy
1,fear
1,surprise
1,sad
1,fear
1,surprise
1,joy
1,joy
1,fear
1,joy
1,joy
1,sad
1,joy
1,joy
1,sad
1,joy
1,surprise
1,sad
1,joy
1,fear
1,fear
1,joy
1,surprise
1,fear
1,surprise
1,joy
1,sad
1,fear
1,joy
1,joy
1,joy
1,fear
1,joy
1,fear
1,sad
1,joy
1,joy
1,joy
1,surprise
1,fear
1,joy
1,joy
1,joy
1,surprise
1,joy
1,fear
1,surprise
1,joy
1,fear
1,joy
1,sad
1,joy
1,joy
1,sad
1,joy
1,joy
1,fear
1,sad
1,sad
1,joy
1,joy
1,surprise
1,joy
1,anger
1,joy
1,surprise
1,sad
1,joy
1,surprise
1,joy
1,surprise
1,joy
1,joy
1,sad
1,joy
1,fear
1,sad
1,sad
1,surprise
1,sad
1,sad
1,sad
1,surprise
1,joy
1,joy
1,surprise
1,surprise
1,sad
1,disgust
1,sad
1,fear
1,fear
1,sad
1,sad
1,joy
1,joy
1,fear
1,joy
1,sad
1,fear
1,fear
1,sad
1,sad
1,anger
1,joy
1,joy
1,fear
1,joy
1,sad
1,sad
1,joy
1,anger
1,joy
1,sad
1,joy
1,sad
1,joy
1,anger
1,fear
1,sad
1,surprise
1,joy
1,fear
1,surprise
1,sad
1,joy
1,fear
1,fear
1,joy
1,fear
1,sad
1,sad
1,joy
2,surprise
2,surprise
2,joy
2,surprise
2,sad
2,sad
2,surprise
2,fear
2,surprise
2,surprise
2,joy
2,surprise
2,fear
2,sad
2,fear
2,fear
2,joy
2,sad
2,surprise
2,joy
2,joy
2,surprise
2,sad
2,surprise
2,sad
2,sad
2,joy
