textid,label
1,surprise
2,surprise
3,surprise
4,surprise
5,surprise
6,surprise
7,surprise
8,surprise
9,surprise
10,surprise
11,surprise
12,surprise
13,surprise
14,surprise
15,surprise
16,surprise
17,surprise
18,surprise
19,surprise
20,surprise
21,surprise
22,surprise
23,surprise
24,surprise
25,surprise
26,surprise
27,surprise
28,surprise
29,surprise
30,surprise
31,joy
32,joy
33,joy
34,joy
35,joy
36,joy
37,joy
38,joy
39,joy
40,joy
41,joy
42,joy
43,joy
44,joy
45,joy
46,joy
47,joy
48,joy
49,joy
50,joy
51,joy
52,joy
53,sad
54,sad
55,sad
56,sad
57,sad
58,sad
59,sad
60,sad
61,sad
62,sad
63,sad
64,sad
65,sad
66,sad
67,sad
68,sad
69,sad
70,sad
71,sad
72,sad
73,sad
74,sad
75,sad
76,sad
77,sad
78,sad
79,sad
80,sad
81,sad
82,sad
83,sad
84,sad
85,sad
86,sad
87,sad
88,sad
89,sad
90,sad
91,anger
92,anger
93,anger
94,anger
95,anger
96,anger
97,anger
98,anger
99,anger
100,anger
101,anger
102,anger
103,anger
104,anger
105,anger
106,anger
107,anger
108,anger
109,anger
110,anger
111,anger
112,anger
113,anger
114,anger
115,anger
116,anger
117,anger
118,anger
119,anger
120,anger
121,anger
122,anger
123,anger
124,anger
125,anger
126,anger
127,anger
128,anger
129,anger
130,anger
131,anger
132,anger
133,anger
134,anger
135,anger
136,anger
137,anger
138,anger
139,anger
140,anger
141,anger
142,anger
143,anger
144,anger
145,anger
146,anger
147,anger
148,anger
149,anger
150,anger
151,anger
152,anger
153,anger
154,anger
155,anger
156,anger
157,anger
158,anger
159,anger
160,anger
161,anger
162,anger
163,anger
164,anger
165,anger
166,anger
167,anger
168,anger
169,anger
170,anger
171,anger
172,anger
173,anger
174,anger
175,anger
176,anger
177,anger
178,anger
179,anger
180,anger
181,anger
182,anger
183,anger
184,anger
185,anger
186,anger
187,anger
188,anger
189,anger
190,anger
191,anger
192,anger
193,anger
194,anger
195,anger
196,anger
197,anger
198,anger
199,anger
200,anger
201,anger
202,anger
203,anger
204,anger
205,anger
206,anger
207,anger
208,anger
209,anger
210,anger
211,anger
212,anger
213,anger
214,anger
215,anger
216,anger
217,anger
218,anger
219,anger
220,anger
221,anger
222,anger
223,anger
224,anger
225,anger
226,anger
227,anger
228,anger
229,anger
230,anger
231,anger
232,anger
233,anger
234,anger
235,anger
236,anger
237,anger
238,anger
239,anger
240,anger
241,anger
242,anger
243,anger
244,anger
245,anger
246,anger
247,anger
248,anger
249,anger
250,anger
251,anger
252,anger
253,anger
254,anger
255,anger
256,anger
257,anger
258,anger
259,anger
260,anger
261,anger
262,anger
263,anger
264,anger
265,anger
266,anger
267,anger
268,anger
269,anger
270,anger
271,anger
272,anger
273,anger
274,anger
275,anger
276,anger
277,anger
278,anger
279,anger
280,anger
281,anger
282,anger
283,anger
284,anger
285,anger
286,anger
287,anger
288,anger
289,anger
290,anger
291,anger
292,anger
293,anger
294,anger
295,anger
296,anger
297,anger
298,anger
299,anger
300,anger
301,anger
302,anger
303,anger
304,anger
305,anger
306,anger
307,anger
308,anger
309,anger
310,anger
311,anger
312,anger
