textid,anger,disgust,fear,joy,sad,surprise
1,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
2,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
3,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
4,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
5,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
6,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
7,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
8,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
9,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
10,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
11,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
12,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
13,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
14,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
15,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
16,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
17,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
18,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
19,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
20,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
21,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
22,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
23,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
24,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
25,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
26,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
27,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
28,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
29,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
30,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
31,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
32,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
33,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
34,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
35,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
36,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
37,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
38,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
39,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
40,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
41,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
42,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
43,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
44,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
45,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
46,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
47,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
48,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
49,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
50,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
51,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
52,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
53,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
54,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
55,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
56,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
57,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
58,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
59,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
60,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
61,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
62,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
63,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
64,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
65,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
66,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
67,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
68,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
69,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
70,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
71,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
72,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
73,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
74,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
75,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
76,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
77,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
78,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
79,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
80,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
81,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
82,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
83,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
84,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
85,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
86,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
87,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
88,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
89,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
90,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
91,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
92,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
93,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
94,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
95,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
96,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
97,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
98,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
99,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
100,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
101,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
102,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
103,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
104,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
105,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
106,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
107,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
108,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
109,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
110,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
111,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
112,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
113,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
114,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
115,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
116,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
117,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
118,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
