instant,dteday,hr,weathersit,temp,atemp,hum,windspeed,cnt
1,2011/1/1,0,1,9.84,14.395,81,0,16
2,2011/1/1,1,1,9.02,13.635,80,0,40
3,2011/1/1,2,1,9.02,13.635,80,0,32
4,2011/1/1,3,1,9.84,14.395,75,0,13
5,2011/1/1,4,1,9.84,14.395,75,0,1
6,2011/1/1,5,2,9.84,12.88,75,6.0032,1
7,2011/1/1,6,1,9.02,13.635,80,0,2
8,2011/1/1,7,1,8.2,12.88,86,0,3
9,2011/1/1,8,1,9.84,14.395,75,0,8
10,2011/1/1,9,1,13.12,17.425,76,0,14
11,2011/1/1,10,1,15.58,19.695,76,16.9979,36
12,2011/1/1,11,1,14.76,16.665,81,19.0012,56
13,2011/1/1,12,1,17.22,21.21,77,19.0012,84
14,2011/1/1,13,2,18.86,22.725,72,19.9995,94
15,2011/1/1,14,2,18.86,22.725,72,19.0012,106
16,2011/1/1,15,2,18.04,21.97,77,19.9995,110
17,2011/1/1,16,2,17.22,21.21,82,19.9995,93
18,2011/1/1,17,2,18.04,21.97,82,19.0012,67
19,2011/1/1,18,3,17.22,21.21,88,16.9979,35
20,2011/1/1,19,3,17.22,21.21,88,16.9979,37
21,2011/1/1,20,2,16.4,20.455,87,16.9979,36
22,2011/1/1,21,2,16.4,20.455,87,12.998,34
23,2011/1/1,22,2,16.4,20.455,94,15.0013,28
24,2011/1/1,23,2,18.86,22.725,88,19.9995,39
25,2011/1/2,0,2,18.86,22.725,88,19.9995,17
26,2011/1/2,1,2,18.04,21.97,94,16.9979,17
27,2011/1/2,2,2,17.22,21.21,100,19.0012,9
28,2011/1/2,3,2,18.86,22.725,94,12.998,6
29,2011/1/2,4,2,18.86,22.725,94,12.998,3
30,2011/1/2,6,3,17.22,21.21,77,19.9995,2
31,2011/1/2,7,2,16.4,20.455,76,12.998,1
32,2011/1/2,8,3,16.4,20.455,71,15.0013,8
33,2011/1/2,9,2,15.58,19.695,76,15.0013,20
34,2011/1/2,10,2,14.76,17.425,81,15.0013,53
35,2011/1/2,11,2,14.76,16.665,71,16.9979,70
36,2011/1/2,12,2,14.76,16.665,66,19.9995,93
37,2011/1/2,13,2,14.76,17.425,66,8.9981,75
38,2011/1/2,14,3,14.76,17.425,76,12.998,59
39,2011/1/2,15,3,13.94,16.665,81,11.0014,74
40,2011/1/2,16,3,13.94,16.665,71,11.0014,76
41,2011/1/2,17,1,13.94,16.665,57,12.998,65
42,2011/1/2,18,2,14.76,16.665,46,22.0028,53
43,2011/1/2,19,1,13.12,14.395,42,30.0026,30
44,2011/1/2,20,1,12.3,13.635,39,23.9994,22
45,2011/1/2,21,1,10.66,11.365,44,22.0028,31
46,2011/1/2,22,1,9.84,10.605,44,19.9995,9
47,2011/1/2,23,1,9.02,11.365,47,11.0014,8
48,2011/1/3,0,1,9.02,9.85,44,23.9994,5
49,2011/1/3,1,1,8.2,8.335,44,27.9993,2
50,2011/1/3,4,1,6.56,6.82,47,26.0027,1
51,2011/1/3,5,1,6.56,6.82,47,19.0012,3
52,2011/1/3,6,1,5.74,5.305,50,26.0027,30
53,2011/1/3,7,1,5.74,6.82,50,12.998,64
54,2011/1/3,8,1,5.74,6.06,50,19.0012,154
55,2011/1/3,9,1,6.56,6.82,43,26.0027,88
56,2011/1/3,10,1,7.38,8.335,43,16.9979,44
57,2011/1/3,11,1,8.2,9.09,40,22.0028,51
58,2011/1/3,12,1,9.02,10.605,35,19.9995,61
59,2011/1/3,13,1,9.84,10.605,35,19.0012,61
60,2011/1/3,14,1,10.66,12.12,30,19.0012,77
61,2011/1/3,15,1,10.66,12.12,30,16.9979,72
62,2011/1/3,16,1,10.66,12.12,30,16.9979,76
63,2011/1/3,17,1,9.84,11.365,30,15.0013,157
64,2011/1/3,18,1,9.84,12.88,32,7.0015,157
65,2011/1/3,19,1,8.2,12.88,47,0,110
66,2011/1/3,20,1,8.2,11.365,47,7.0015,52
67,2011/1/3,21,1,7.38,9.85,64,8.9981,52
68,2011/1/3,22,1,5.74,7.575,69,8.9981,20
69,2011/1/3,23,1,7.38,10.605,55,7.0015,12
70,2011/1/4,0,1,6.56,9.09,55,7.0015,5
71,2011/1/4,1,1,6.56,9.09,59,7.0015,2
72,2011/1/4,2,1,5.74,7.575,63,8.9981,1
73,2011/1/4,4,1,5.74,9.09,63,6.0032,2
74,2011/1/4,5,1,4.92,7.575,68,7.0015,4
75,2011/1/4,6,1,4.92,7.575,74,7.0015,36
76,2011/1/4,7,1,4.92,7.575,74,8.9981,94
77,2011/1/4,8,1,5.74,7.575,69,11.0014,179
78,2011/1/4,9,1,6.56,7.575,64,15.0013,100
79,2011/1/4,10,2,6.56,6.82,69,22.0028,42
80,2011/1/4,11,1,9.02,10.605,51,19.9995,57
81,2011/1/4,12,1,9.02,11.365,51,11.0014,78
82,2011/1/4,13,1,9.84,11.365,56,12.998,97
83,2011/1/4,14,1,10.66,12.88,52,15.0013,63
84,2011/1/4,15,1,11.48,13.635,52,16.9979,65
85,2011/1/4,16,1,12.3,14.395,49,16.9979,83
86,2011/1/4,17,1,11.48,13.635,48,15.0013,212
87,2011/1/4,18,1,10.66,12.88,48,12.998,182
88,2011/1/4,19,1,9.84,12.88,48,7.0015,112
89,2011/1/4,20,1,9.84,12.88,48,7.0015,54
90,2011/1/4,21,1,9.02,13.635,64,0,48
91,2011/1/4,22,1,9.02,12.88,64,6.0032,35
92,2011/1/4,23,1,8.2,11.365,69,6.0032,11
93,2011/1/5,0,1,8.2,12.88,64,0,6
94,2011/1/5,1,1,6.56,9.85,74,6.0032,6
95,2011/1/5,2,1,6.56,9.85,74,6.0032,2
96,2011/1/5,4,1,9.84,11.365,48,15.0013,2
97,2011/1/5,5,1,9.02,11.365,47,11.0014,3
98,2011/1/5,6,1,8.2,9.85,47,15.0013,33
99,2011/1/5,7,1,7.38,9.09,43,12.998,88
100,2011/1/5,8,1,8.2,9.09,40,19.9995,195
101,2011/1/5,9,1,9.02,9.85,37,22.0028,115
102,2011/1/5,10,1,9.02,9.85,37,22.0028,57
103,2011/1/5,11,1,10.66,11.365,33,22.0028,46
104,2011/1/5,12,1,10.66,11.365,33,22.0028,79
105,2011/1/5,13,1,11.48,12.88,30,19.9995,71
106,2011/1/5,14,1,12.3,14.395,28,12.998,62
107,2011/1/5,15,1,12.3,14.395,28,12.998,62
108,2011/1/5,16,1,12.3,15.91,28,6.0032,89
109,2011/1/5,17,1,9.84,11.365,38,12.998,190
110,2011/1/5,18,1,9.84,12.12,38,8.9981,169
111,2011/1/5,19,1,9.84,12.88,38,7.0015,132
112,2011/1/5,20,1,9.02,11.365,47,11.0014,89
113,2011/1/5,21,1,8.2,9.85,51,12.998,43
114,2011/1/5,22,1,7.38,9.85,55,8.9981,42
115,2011/1/5,23,1,8.2,12.88,47,0,19
116,2011/1/6,0,1,7.38,12.12,55,0,11
117,2011/1/6,1,1,6.56,11.365,64,0,4
118,2011/1/6,2,1,6.56,11.365,64,0,2
119,2011/1/6,4,2,6.56,9.85,64,6.0032,1
120,2011/1/6,5,2,5.74,9.09,69,6.0032,4
121,2011/1/6,6,2,5.74,8.335,63,7.0015,36
122,2011/1/6,7,2,6.56,11.365,59,0,95
123,2011/1/6,8,1,6.56,11.365,59,0,219
124,2011/1/6,9,2,7.38,12.12,51,0,122
125,2011/1/6,10,1,8.2,12.88,47,0,45
126,2011/1/6,11,1,9.02,12.88,44,6.0032,59
127,2011/1/6,12,1,10.66,14.395,35,0,84
128,2011/1/6,13,1,10.66,13.635,35,7.0015,67
129,2011/1/6,14,1,11.48,13.635,36,11.0014,70
130,2011/1/6,15,1,11.48,13.635,36,0,62
131,2011/1/6,16,1,10.66,12.88,38,11.0014,86
132,2011/1/6,17,1,9.02,11.365,51,11.0014,172
133,2011/1/6,18,1,9.02,11.365,51,8.9981,163
134,2011/1/6,19,1,9.02,12.88,55,6.0032,112
135,2011/1/6,20,1,8.2,10.605,51,11.0014,69
136,2011/1/6,21,2,9.02,10.605,55,15.0013,48
137,2011/1/6,22,2,9.02,10.605,51,19.0012,52
138,2011/1/6,23,2,8.2,9.85,59,12.998,23
139,2011/1/7,0,2,8.2,9.85,64,12.998,17
140,2011/1/7,1,2,8.2,9.85,69,15.0013,7
141,2011/1/7,2,2,8.2,9.85,69,15.0013,1
142,2011/1/7,4,2,8.2,10.605,69,8.9981,1
143,2011/1/7,5,3,9.02,13.635,55,0,5
144,2011/1/7,6,2,8.2,12.88,69,0,34
145,2011/1/7,7,1,8.2,10.605,69,8.9981,84
146,2011/1/7,8,1,8.2,9.85,51,16.9979,210
147,2011/1/7,9,1,8.2,9.09,47,19.9995,134
