instant,dteday,hr,weathersit,temp,atemp,hum,windspeed,season,holiday,weekday,workingday,cnt
1,2011/1/1,0,1,9.84,14.395,81,0,1,0,6,0,16
2,2011/1/1,1,1,9.02,13.635,80,0,1,0,6,0,40
3,2011/1/1,2,1,9.02,13.635,80,0,1,0,6,0,32
4,2011/1/1,3,1,9.84,14.395,75,0,1,0,6,0,13
5,2011/1/1,4,1,9.84,14.395,75,0,1,0,6,0,1
6,2011/1/1,5,2,9.84,12.88,75,6.0032,1,0,6,0,1
7,2011/1/1,6,1,9.02,13.635,80,0,1,0,6,0,2
8,2011/1/1,7,1,8.2,12.88,86,0,1,0,6,0,3
9,2011/1/1,8,1,9.84,14.395,75,0,1,0,6,0,8
10,2011/1/1,9,1,13.12,17.425,76,0,1,0,6,0,14
11,2011/1/1,10,1,15.58,19.695,76,16.9979,1,0,6,0,36
12,2011/1/1,11,1,14.76,16.665,81,19.0012,1,0,6,0,56
13,2011/1/1,12,1,17.22,21.21,77,19.0012,1,0,6,0,84
14,2011/1/1,13,2,18.86,22.725,72,19.9995,1,0,6,0,94
15,2011/1/1,14,2,18.86,22.725,72,19.0012,1,0,6,0,106
16,2011/1/1,15,2,18.04,21.97,77,19.9995,1,0,6,0,110
17,2011/1/1,16,2,17.22,21.21,82,19.9995,1,0,6,0,93
18,2011/1/1,17,2,18.04,21.97,82,19.0012,1,0,6,0,67
19,2011/1/1,18,3,17.22,21.21,88,16.9979,1,0,6,0,35
20,2011/1/1,19,3,17.22,21.21,88,16.9979,1,0,6,0,37
21,2011/1/1,20,2,16.4,20.455,87,16.9979,1,0,6,0,36
22,2011/1/1,21,2,16.4,20.455,87,12.998,1,0,6,0,34
23,2011/1/1,22,2,16.4,20.455,94,15.0013,1,0,6,0,28
24,2011/1/1,23,2,18.86,22.725,88,19.9995,1,0,6,0,39
25,2011/1/2,0,2,18.86,22.725,88,19.9995,1,0,0,0,17
26,2011/1/2,1,2,18.04,21.97,94,16.9979,1,0,0,0,17
27,2011/1/2,2,2,17.22,21.21,100,19.0012,1,0,0,0,9
28,2011/1/2,3,2,18.86,22.725,94,12.998,1,0,0,0,6
29,2011/1/2,4,2,18.86,22.725,94,12.998,1,0,0,0,3
30,2011/1/2,6,3,17.22,21.21,77,19.9995,1,0,0,0,2
31,2011/1/2,7,2,16.4,20.455,76,12.998,1,0,0,0,1
32,2011/1/2,8,3,16.4,20.455,71,15.0013,1,0,0,0,8
33,2011/1/2,9,2,15.58,19.695,76,15.0013,1,0,0,0,20
34,2011/1/2,10,2,14.76,17.425,81,15.0013,1,0,0,0,53
35,2011/1/2,11,2,14.76,16.665,71,16.9979,1,0,0,0,70
36,2011/1/2,12,2,14.76,16.665,66,19.9995,1,0,0,0,93
37,2011/1/2,13,2,14.76,17.425,66,8.9981,1,0,0,0,75
38,2011/1/2,14,3,14.76,17.425,76,12.998,1,0,0,0,59
39,2011/1/2,15,3,13.94,16.665,81,11.0014,1,0,0,0,74
40,2011/1/2,16,3,13.94,16.665,71,11.0014,1,0,0,0,76
41,2011/1/2,17,1,13.94,16.665,57,12.998,1,0,0,0,65
42,2011/1/2,18,2,14.76,16.665,46,22.0028,1,0,0,0,53
43,2011/1/2,19,1,13.12,14.395,42,30.0026,1,0,0,0,30
44,2011/1/2,20,1,12.3,13.635,39,23.9994,1,0,0,0,22
45,2011/1/2,21,1,10.66,11.365,44,22.0028,1,0,0,0,31
46,2011/1/2,22,1,9.84,10.605,44,19.9995,1,0,0,0,9
47,2011/1/2,23,1,9.02,11.365,47,11.0014,1,0,0,0,8
48,2011/1/3,0,1,9.02,9.85,44,23.9994,1,0,1,1,5
49,2011/1/3,1,1,8.2,8.335,44,27.9993,1,0,1,1,2
50,2011/1/3,4,1,6.56,6.82,47,26.0027,1,0,1,1,1
51,2011/1/3,5,1,6.56,6.82,47,19.0012,1,0,1,1,3
52,2011/1/3,6,1,5.74,5.305,50,26.0027,1,0,1,1,30
53,2011/1/3,7,1,5.74,6.82,50,12.998,1,0,1,1,64
54,2011/1/3,8,1,5.74,6.06,50,19.0012,1,0,1,1,154
55,2011/1/3,9,1,6.56,6.82,43,26.0027,1,0,1,1,88
56,2011/1/3,10,1,7.38,8.335,43,16.9979,1,0,1,1,44
57,2011/1/3,11,1,8.2,9.09,40,22.0028,1,0,1,1,51
58,2011/1/3,12,1,9.02,10.605,35,19.9995,1,0,1,1,61
59,2011/1/3,13,1,9.84,10.605,35,19.0012,1,0,1,1,61
60,2011/1/3,14,1,10.66,12.12,30,19.0012,1,0,1,1,77
61,2011/1/3,15,1,10.66,12.12,30,16.9979,1,0,1,1,72
62,2011/1/3,16,1,10.66,12.12,30,16.9979,1,0,1,1,76
63,2011/1/3,17,1,9.84,11.365,30,15.0013,1,0,1,1,157
64,2011/1/3,18,1,9.84,12.88,32,7.0015,1,0,1,1,157
65,2011/1/3,19,1,8.2,12.88,47,0,1,0,1,1,110
66,2011/1/3,20,1,8.2,11.365,47,7.0015,1,0,1,1,52
67,2011/1/3,21,1,7.38,9.85,64,8.9981,1,0,1,1,52
68,2011/1/3,22,1,5.74,7.575,69,8.9981,1,0,1,1,20
69,2011/1/3,23,1,7.38,10.605,55,7.0015,1,0,1,1,12
70,2011/1/4,0,1,6.56,9.09,55,7.0015,1,0,2,1,5
71,2011/1/4,1,1,6.56,9.09,59,7.0015,1,0,2,1,2
72,2011/1/4,2,1,5.74,7.575,63,8.9981,1,0,2,1,1
73,2011/1/4,4,1,5.74,9.09,63,6.0032,1,0,2,1,2
74,2011/1/4,5,1,4.92,7.575,68,7.0015,1,0,2,1,4
75,2011/1/4,6,1,4.92,7.575,74,7.0015,1,0,2,1,36
76,2011/1/4,7,1,4.92,7.575,74,8.9981,1,0,2,1,94
